datetime,2020-05_lgh1_CO2_livingroom,2020-05_lgh1_light_livingroom,2020-05_lgh1_rh_livingroom,2020-05_lgh1_temp_livingroom,2020-05_lgh1_temp_outdoor,occupancy
2020-05-16 21:00:00,584.960021972656,,20.5,23.8199996948242,,
2020-05-16 21:30:00,595.1200103759766,,20.666666666666668,,,
2020-05-16 22:00:00,601.919982910156,,,,5.92000007629395,1.0
2020-05-16 22:30:00,611.3600158691405,,,,,
2020-05-16 23:00:00,579.3600158691405,,21.666666666666668,,,0.0
2020-05-16 23:30:00,579.3600158691405,,,,,1.0
2020-05-17 00:00:00,563.3600158691405,,22.5,,,0.0
2020-05-17 00:30:00,586.880004882812,,23.5,,,1.0
2020-05-17 01:00:00,569.9199981689453,,23.444444444444443,,,
2020-05-17 01:30:00,,,23.666666666666668,,,
2020-05-17 02:00:00,573.760009765625,,,,,
2020-05-17 02:30:00,573.2266642252604,,24.5,,,
2020-05-17 03:00:00,573.4400024414064,,24.5,,,1.0
2020-05-17 03:30:00,570.8800048828124,,24.5,,,
2020-05-17 04:00:00,566.82666015625,,24.5,23.9200000762939,6.42000007629395,
2020-05-17 04:30:00,563.199991861979,,,,6.92000007629395,1.0
2020-05-17 05:00:00,566.0799926757815,,23.333333333333332,23.8199996948242,,
2020-05-17 05:30:00,548.799987792969,,,,7.42000007629395,
2020-05-17 06:00:00,561.440002441406,5.0,,,7.92000007629395,
2020-05-17 06:30:00,611.0399932861328,83.44571467808305,24.333333333333332,23.9200000762939,8.4399995803833,
2020-05-17 07:00:00,620.3022325303817,116.31199951171871,29.5,23.8199996948242,8.96000003814697,
2020-05-17 07:30:00,686.3199996948241,129.1999979886142,28.7,,9.21999979019165,
2020-05-17 08:00:00,638.506673177083,108.68666617075594,25.894736842105264,23.7199993133545,9.47999954223633,
2020-05-17 08:30:00,564.9777696397567,113.9115789313065,22.75,23.6000003814697,,
2020-05-17 09:00:00,483.1199951171875,150.31703553376383,22.0,23.7000007629395,10.170000076293933,0.0
2020-05-17 09:30:00,526.2720031738279,108.12420975534532,23.444444444444443,23.8199996948242,,1.0
2020-05-17 10:00:00,587.1999918619794,135.4079986572266,23.285714285714285,,10.510000228881825,
2020-05-17 10:30:00,,148.49411639045277,22.5,,9.739999771118164,
2020-05-17 11:00:00,578.5600062779017,141.013333638509,,23.9200000762939,9.47999954223633,
2020-05-17 11:30:00,608.960021972656,215.9329009517548,,24.0200004577637,9.737499952316275,
2020-05-17 12:00:00,597.760009765625,303.13800048828125,21.0,24.2333335876465,11.190000216166199,
2020-05-17 12:30:00,559.1200002034504,262.77600123087564,20.8,,10.276666641235357,
2020-05-17 13:00:00,537.4933471679686,446.7133312225342,23.0,24.546667098999,8.179999828338625,
2020-05-17 13:30:00,516.6719970703126,630.9309088967063,,24.8100004196167,9.479999780654907,
2020-05-17 14:00:00,481.920013427734,443.02400093078603,,25.0299997329712,9.775714193071634,0.0
2020-05-17 14:30:00,495.3600006103515,32.0,,,7.926666577657066,
2020-05-17 15:00:00,539.840026855469,,24.0,25.1800003051758,6.42000007629395,1.0
2020-05-17 15:30:00,533.9200134277345,6.0,,,5.1549999713897705,
2020-05-17 16:00:00,550.719970703125,47.666666666666664,24.571428571428573,25.2800006866455,5.40999984741211,
2020-05-17 16:30:00,593.0514351981026,19.0,26.0,,5.92000007629395,
2020-05-17 17:00:00,593.8133341471354,0.0,26.2,25.13000011444095,,
2020-05-17 17:30:00,621.546651204427,5.0,26.0,,5.40999984741211,
2020-05-17 18:00:00,619.840026855469,,27.666666666666668,,,
2020-05-17 18:30:00,608.960021972656,,27.333333333333332,,,
2020-05-17 19:00:00,,,,,,
2020-05-17 19:30:00,596.8800048828125,,26.0,,4.90000009536743,
2020-05-17 20:00:00,592.7999877929685,,,,,
2020-05-17 20:30:00,613.760009765625,,,24.9799995422363,,
2020-05-17 21:00:00,590.8800048828123,,,24.8799991607666,4.38000011444092,
2020-05-17 21:30:00,560.5333251953124,,,,,
2020-05-17 22:00:00,549.440002441406,,,24.7600002288818,,0.0
2020-05-17 22:30:00,547.8399963378905,,,,,1.0
2020-05-17 23:00:00,554.880004882812,,,,3.85999989509583,
2020-05-17 23:30:00,550.3999938964845,,,24.6599998474121,,1.0
2020-05-18 00:00:00,550.8800048828125,,,,,1.0
2020-05-18 00:30:00,552.3199768066405,,,24.5599994659424,,
2020-05-18 01:00:00,550.9333292643227,,,,,0.0
2020-05-18 01:30:00,546.8800048828124,,,,3.33999991416931,1.0
2020-05-18 02:00:00,549.760009765625,,,,3.85999989509583,
2020-05-18 02:30:00,557.440002441406,,27.555555555555557,24.4599990844727,3.33999991416931,
2020-05-18 03:00:00,562.880004882812,,,,4.120000004768375,
2020-05-18 03:30:00,549.760009765625,,,,4.90000009536743,1.0
2020-05-18 04:00:00,560.0,,,24.3400001525879,5.66499996185303,
2020-05-18 04:30:00,555.1199951171875,86.0,,24.2399997711182,6.42000007629395,
2020-05-18 05:00:00,597.2571411132811,62.25,28.5,24.1399993896484,6.92000007629395,
2020-05-18 05:30:00,561.5466715494791,72.20200004577637,28.5,23.9700002670288,7.586666742960617,
2020-05-18 06:00:00,594.3999938964845,58.122353048885564,,,7.92000007629395,
2020-05-18 06:30:00,534.4457310267857,76.08307706392726,26.75,23.39599990844728,8.699999809265137,
2020-05-18 07:00:00,534.8800048828125,86.5800004005431,27.0,23.1560001373291,9.21999979019165,
2020-05-18 07:30:00,496.2133382161457,72.34222242567267,25.666666666666668,,9.47999954223633,0.0
2020-05-18 08:00:00,465.279998779297,92.9142852056594,24.0,23.4799995422363,10.0,
2020-05-18 08:30:00,448.0,146.71199951171872,,,10.340000152587868,
2020-05-18 09:00:00,469.279998779297,96.39692277174728,27.0,,10.850000381469734,1.0
2020-05-18 09:30:00,582.125714983259,,33.45454545454545,23.5799999237061,11.27500009536745,
2020-05-18 10:00:00,625.440002441406,134.13333129882815,29.2,23.6800003051758,11.73399982452392,
2020-05-18 10:30:00,644.799987792969,105.44571304321286,28.2,23.7800006866455,12.039999961853,
2020-05-18 11:00:00,646.4000091552734,160.02666219075533,25.8,23.8999996185303,12.380000114440934,
2020-05-18 11:30:00,618.399993896484,186.77142851693287,25.25,23.7999992370605,12.977143015180344,
2020-05-18 12:00:00,592.0711127387153,142.2590466453916,24.333333333333332,23.6800003051758,12.797500133514426,
2020-05-18 12:30:00,506.5066528320312,200.28266550699874,23.8,,12.039999961853034,0.0
2020-05-18 13:00:00,575.4800033569336,295.43110882794406,24.333333333333332,23.7800006866455,13.0500001907349,1.0
2020-05-18 13:30:00,614.6399993896482,378.36250042915344,25.0,24.02000045776367,12.093125104904189,
2020-05-18 14:00:00,596.2666829427084,378.67333285013825,,24.3000001907349,10.81600017547608,
2020-05-18 14:30:00,613.2266642252604,89.14500045776354,26.11111111111111,24.4799995422363,10.2550001144409,
2020-05-18 15:00:00,626.8800048828124,31.5,,24.63000011444095,9.47999954223633,
2020-05-18 15:30:00,601.874285016741,36.5,28.666666666666668,,8.699999809265137,
2020-05-18 16:00:00,556.8000081380209,27.0,28.6,24.5299997329712,,
2020-05-18 16:30:00,573.7066752115885,17.0,30.0,,,
2020-05-18 17:00:00,622.599998474121,0.0,31.678571428571427,24.339999914169326,7.92000007629395,
2020-05-18 17:30:00,631.6586649576822,,33.65625,23.38909079811788,,
2020-05-18 18:00:00,981.9885689871651,,39.375,23.83600044250488,7.42000007629395,
2020-05-18 18:30:00,1126.399991122158,,39.0,24.260000228881836,,
2020-05-18 19:00:00,1094.674298967633,,38.90909090909091,,,
2020-05-18 19:30:00,881.0800018310551,,36.45454545454545,24.2600002288818,6.92000007629395,
2020-05-18 20:00:00,710.674290248326,,35.714285714285715,,,
2020-05-18 20:30:00,653.7599853515624,,35.5,,,
2020-05-18 21:00:00,623.0400024414063,,34.42857142857143,24.1599998474121,,
2020-05-18 21:30:00,576.0,,33.333333333333336,,,0.0
2020-05-18 22:00:00,563.840026855469,,33.5,,6.42000007629395,1.0
2020-05-18 22:30:00,576.0,,33.5,24.0599994659424,,
2020-05-18 23:00:00,,,,,,
2020-05-18 23:30:00,569.9200134277345,,32.0,,6.92000007629395,
2020-05-19 00:00:00,569.8133341471354,,31.952380952380953,,6.42000007629395,
2020-05-19 00:30:00,575.8933512369794,,32.0,,,1.0
2020-05-19 01:00:00,566.719970703125,,,,5.41000000635783,
2020-05-19 01:30:00,578.880004882812,,,,4.38000011444092,0.0
2020-05-19 02:00:00,581.546671549479,,32.0,,,1.0
2020-05-19 02:30:00,621.4981744939629,,32.0,,4.90000009536743,
2020-05-19 03:00:00,603.7760009765626,,32.0,,5.66499996185303,
2020-05-19 03:30:00,578.8800048828125,,,,6.67000007629395,1.0
2020-05-19 04:00:00,571.9199981689453,,30.0,23.9599990844727,7.67000007629395,
2020-05-19 04:30:00,603.8399861653644,85.26000022888181,31.25,23.8400001525879,,
2020-05-19 05:00:00,611.360008239746,104.01000022888176,31.636363636363637,23.78999996185305,8.4399995803833,
2020-05-19 05:30:00,633.4933268229166,110.86800003051746,33.0,,8.96000003814697,
2020-05-19 06:00:00,613.866678873698,121.13777584499778,31.666666666666668,23.7399997711182,9.739999771118164,
2020-05-19 06:30:00,620.6079895019532,125.01333109537768,32.0,23.579999923706048,10.5100002288818,
2020-05-19 07:00:00,532.3733469645182,131.0,30.0,23.4200000762939,10.2550001144409,0.0
2020-05-19 07:30:00,469.2266642252603,114.8900003433227,29.333333333333332,,,
2020-05-19 08:00:00,445.760009765625,117.51142774309433,29.5,,11.0200004577637,
2020-05-19 08:30:00,532.8581792658025,156.8988216624541,33.2,23.57000064849855,11.5299997329712,1.0
2020-05-19 09:00:00,557.8559997558593,138.86857169015056,30.0,23.706666310628265,11.869999885559068,
2020-05-19 09:30:00,668.4800048828125,123.03999837239569,28.0,23.92000045776366,,
2020-05-19 10:00:00,553.9600105285643,142.60666433970138,27.5,23.6899995803833,,
2020-05-19 10:30:00,516.799987792969,148.12799797058116,,23.5200004577637,12.29500007629395,
2020-05-19 11:00:00,575.4311048719618,112.39499998092643,29.166666666666668,,11.020000139872232,
2020-05-19 11:30:00,525.262220594618,108.040000915527,28.833333333333332,23.739999771118164,,
2020-05-19 12:00:00,628.6399993896484,171.50500043233225,31.0,24.046667098999,9.739999771118164,
2020-05-19 12:30:00,575.5377807617186,151.54922954852765,31.166666666666668,24.488571711948943,,
2020-05-19 13:00:00,503.04000854492176,375.18285413469584,30.4,24.26999950408935,11.0200001001358,
2020-05-19 13:30:00,568.5942818777902,148.7078257021697,30.6,24.3199996948242,9.479999860127768,
2020-05-19 14:00:00,573.7142857142857,508.6409986495972,30.0,24.52000045776367,8.959999799728394,
2020-05-19 14:30:00,643.9999999999999,147.29090858228275,29.5,24.78999996185305,9.21999979019165,
2020-05-19 15:00:00,621.6436379172585,77.02000045776364,29.75,,8.4399995803833,
2020-05-19 15:30:00,634.5066833496095,55.833333333333336,32.875,,,
